번호,구분,전계강도(dB㎶/m),위도,경도,주파수,비고
543,송신소(대구 TBN),24,36.8906495,128.7362692,103.9MHz,
544,송신소(대구 TBN),22,36.623036,128.3752282,103.9MHz,
545,송신소(대구 TBN),30,36.6060349,128.2044897,103.9MHz,
546,송신소(대구 TBN),26,36.5305708,128.1611012,103.9MHz,
547,송신소(대구 TBN),45,36.4842712,128.1718018,103.9MHz,
548,송신소(대구 TBN),21,36.7368228,128.1016902,103.9MHz,
549,송신소(대구 TBN),28,36.411549,128.159657,103.9MHz,
550,송신소(대구 TBN),30,36.3546501,128.2925215,103.9MHz,
551,송신소(대구 TBN),39,36.15074,128.489844,103.9MHz,
552,송신소(대구 TBN),34,36.1078095,128.4172975,103.9MHz,
553,송신소(대구 TBN),43,35.9127098,128.6603324,103.9MHz,
554,송신소(대구 TBN),41,35.9437901,128.6964392,103.9MHz,
555,송신소(대구 TBN),42,35.9518184,128.7733761,103.9MHz,
556,송신소(대구 TBN),21,36.0543108,129.0202666,103.9MHz,
557,송신소(대구 TBN),17,36.0421186,129.0640406,103.9MHz,
558,송신소(대구 TBN),47,35.8322424,128.7553859,103.9MHz,
559,송신소(대구 TBN),42,35.9642644,128.9356382,103.9MHz,
560,송신소(대구 TBN),53,35.8003307,128.4704256,103.9MHz,
561,송신소(대구 TBN),36,35.7604731,128.3966948,103.9MHz,
562,송신소(대구 TBN),35,35.7261414,128.2607641,103.9MHz,
563,송신소(대구 TBN),32,35.691662,128.457803,103.9MHz,
564,송신소(대구 TBN),27,35.6917017,128.3163947,103.9MHz,
565,송신소(대구 TBN),41,35.6945734,128.8860672,103.9MHz,
566,중계소(김천),24,36.2428265,128.0909882,95.9MHz,
567,중계소(김천),20,36.236602,128.199814,95.9MHz,
568,중계소(김천),30,36.1595897,128.2643629,95.9MHz,
569,중계소(김천),30,36.06008,128.268992,95.9MHz,
570,중계소(김천),54,36.1082178,128.1680244,95.9MHz,
571,중계소(김천),50,36.128729,128.183086,95.9MHz,
572,중계소(김천),42,36.0952789,128.1087947,95.9MHz,
573,중계소(김천),51,36.1334675,128.0325335,95.9MHz,
574,중계소(김천),33,36.1997186,127.9944874,95.9MHz,
575,중계소(김천),50,36.125156,128.13178,95.9MHz,
576,송신소(대전 TBN),69,36.335552,127.3577112,102.9MHz,
577,송신소(대전 TBN),63,36.3338581,127.369638,102.9MHz,
578,송신소(대전 TBN),62,36.3577165,127.3773032,102.9MHz,
579,송신소(대전 TBN),77,36.3566893,127.4030786,102.9MHz,
580,송신소(대전 TBN),61,36.3590506,127.4299926,102.9MHz,
581,송신소(대전 TBN),61,36.351055,127.44201,102.9MHz,
582,송신소(대전 TBN),56,36.355227,127.459436,102.9MHz,
583,송신소(대전 TBN),56,36.3488859,127.4720722,102.9MHz,
584,송신소(대전 TBN),66,36.318372,127.462294,102.9MHz,
585,송신소(대전 TBN),70,36.3068629,127.4545194,102.9MHz,
586,송신소(대전 TBN),66,36.2959754,127.458075,102.9MHz,
587,송신소(대전 TBN),56,36.2685623,127.4055307,102.9MHz,
588,송신소(대전 TBN),46,36.215069,127.4887964,102.9MHz,
589,송신소(대전 TBN),40,36.1887108,27.4720487,102.9MHz,
590,송신소(대전 TBN),39,36.1904048,127.4635495,102.9MHz,
591,송신소(대전 TBN),24,36.1628236,127.3958623,102.9MHz,
592,송신소(대전 TBN),38,36.1393536,127.3615884,102.9MHz,
593,송신소(대전 TBN),32,36.1658224,127.3437838,102.9MHz,
594,송신소(대전 TBN),36,36.1474678,126.7029647,102.9MHz,
595,송신소(대전 TBN),33,36.16613,127.299834,102.9MHz,
596,송신소(대전 TBN),24,36.3503938,127.4128217,102.9MHz,
597,송신소(대전 TBN),27,36.1600984,126.9260013,102.9MHz,
598,송신소(대전 TBN),37,36.1749299,127.2015472,102.9MHz,
599,송신소(대전 TBN),33,36.144213,127.168557,102.9MHz,
600,송신소(대전 TBN),28,36.133062,127.154569,102.9MHz,
601,송신소(대전 TBN),33,36.1244344,127.1219061,102.9MHz,
602,송신소(대전 TBN),33,36.122268,127.1255725,102.9MHz,
603,송신소(대전 TBN),33,36.0819668,127.0938266,102.9MHz,
604,송신소(대전 TBN),25,36.1236289,127.1237393,102.9MHz,
605,송신소(대전 TBN),39,36.1475415,127.0515233,102.9MHz,
606,송신소(대전 TBN),37,36.2245321,127.0443276,102.9MHz,
607,송신소(대전 TBN),24,36.2989122,127.0587131,102.9MHz,
608,송신소(대전 TBN),15,36.4264527,127.0722084,102.9MHz,
609,송신소(대전 TBN),31,36.4856124,127.0830946,102.9MHz,
610,송신소(대전 TBN),38,36.5001941,127.0932877,102.9MHz,
611,송신소(대전 TBN),44,36.5703813,127.1125288,102.9MHz,
612,송신소(대전 TBN),35,36.625096,127.1120325,102.9MHz,
613,송신소(대전 TBN),32,36.7287222,127.1386756,102.9MHz,
614,송신소(대전 TBN),28,36.788912,127.1165,102.9MHz,
615,송신소(대전 TBN),28,36.7546922,127.1563025,102.9MHz,
616,송신소(대전 TBN),28,36.751452,127.168097,102.9MHz,
617,송신소(대전 TBN),25,36.7307,127.167356,102.9MHz,
618,송신소(대전 TBN),31,36.7030128,127.1086523,102.9MHz,
619,송신소(대전 TBN),19,36.681507,127.1674535,102.9MHz,
620,송신소(대전 TBN),30,36.6186805,127.1215152,102.9MHz,
621,송신소(대전 TBN),35,36.6302614,127.0637149,102.9MHz,
622,송신소(대전 TBN),32,36.646205,127.040945,102.9MHz,
623,송신소(대전 TBN),34,36.6542858,127.0381611,102.9MHz,
624,송신소(대전 TBN),28,36.620082,127.123751,102.9MHz,
625,송신소(대전 TBN),44,36.591745,127.165002,102.9MHz,
626,송신소(대전 TBN),35,36.559043,127.187992,102.9MHz,
627,송신소(대전 TBN),38,36.544273,127.212184,102.9MHz,
628,송신소(대전 TBN),40,36.527749,127.248818,102.9MHz,
629,송신소(대전 TBN),42,36.470805,127.254946,102.9MHz,
630,송신소(대전 TBN),35,36.46128,127.27787,102.9MHz,
631,송신소(대전 TBN),42,36.479732,127.308254,102.9MHz,
632,송신소(대전 TBN),53,36.416806,127.377766,102.9MHz,
633,송신소(대전 TBN),51,36.3885458,127.3699523,102.9MHz,
634,송신소(대전 TBN),55,36.389132,127.385105,102.9MHz,
635,송신소(대전 TBN),55,36.388642,127.385233,102.9MHz,
636,송신소(대전 TBN),60,36.3746031,127.3708415,102.9MHz,
637,송신소(대전 TBN),30,36.763057,127.560277,102.9MHz,
638,송신소(대전 TBN),35,36.735203,127.552642,102.9MHz,
639,송신소(대전 TBN),34,36.711607,127.550864,102.9MHz,
640,송신소(대전 TBN),38,36.679106,127.520463,102.9MHz,
641,송신소(대전 TBN),51,36.671028,127.518282,102.9MHz,
642,송신소(대전 TBN),51,36.671178,127.518861,102.9MHz,
643,송신소(대전 TBN),40,36.662096,127.511927,102.9MHz,
644,송신소(대전 TBN),36,36.653099,127.5107823,102.9MHz,
645,송신소(대전 TBN),38,36.610835,127.452825,102.9MHz,
646,송신소(대전 TBN),36,36.614828,127.461508,102.9MHz,
647,송신소(대전 TBN),35,36.615525,127.470905,102.9MHz,
648,송신소(대전 TBN),38,36.6070494,127.4795922,102.9MHz,
649,송신소(대전 TBN),34,36.6190185,127.4823577,102.9MHz,
650,송신소(대전 TBN),39,36.6251027,127.4902676,102.9MHz,
651,송신소(대전 TBN),48,36.640543,127.51311,102.9MHz,
652,송신소(대전 TBN),70,36.6455339,127.522068,102.9MHz,
653,송신소(대전 TBN),43,36.3377854,126.9242914,102.9MHz,
654,송신소(대전 TBN),44,36.6446851,127.5582225,102.9MHz,
655,송신소(대전 TBN),31,36.623293,127.612553,102.9MHz,
656,송신소(대전 TBN),40,36.6203006,127.636299,102.9MHz,
657,송신소(대전 TBN),30,36.6360768,127.6557967,102.9MHz,
658,송신소(대전 TBN),32,36.600332,127.683539,102.9MHz,
659,송신소(대전 TBN),34,36.592538,127.684087,102.9MHz,
660,송신소(대전 TBN),47,36.572712,127.689372,102.9MHz,
661,송신소(대전 TBN),42,36.550703,127.703632,102.9MHz,
662,송신소(대전 TBN),30,36.5359788,127.7141272,102.9MHz,
663,송신소(대전 TBN),44,36.4920122,127.7284881,102.9MHz,
664,송신소(대전 TBN),36,36.4977339,127.7419311,102.9MHz,
665,송신소(대전 TBN),35,36.5160099,127.7650395,102.9MHz,
666,송신소(대전 TBN),40,36.5102608,127.7735944,102.9MHz,
667,송신소(대전 TBN),37,36.5193989,127.7923979,102.9MHz,
668,송신소(대전 TBN),36,36.5118168,127.8069245,102.9MHz,
669,송신소(대전 TBN),22,36.495922,127.822379,102.9MHz,
670,송신소(대전 TBN),28,36.4931806,127.8346168,102.9MHz,
671,송신소(대전 TBN),37,36.4895143,127.8287896,102.9MHz,
672,송신소(대전 TBN),31,36.4664607,127.7851779,102.9MHz,
673,송신소(대전 TBN),30,36.4615725,127.790983,102.9MHz,
674,송신소(대전 TBN),29,36.4556562,127.7789669,102.9MHz,
675,송신소(대전 TBN),32,36.4563775,127.7373597,102.9MHz,
676,송신소(대전 TBN),42,36.4568495,127.7173513,102.9MHz,
677,송신소(대전 TBN),30,36.4662642,127.6806704,102.9MHz,
678,송신소(대전 TBN),26,36.474011,127.643977,102.9MHz,
679,송신소(대전 TBN),35,36.47479,127.6247311,102.9MHz,
680,송신소(대전 TBN),64,36.4867884,127.6062778,102.9MHz,
681,송신소(대전 TBN),33,36.5097572,127.572086,102.9MHz,
682,송신소(대전 TBN),38,36.5118956,127.5585317,102.9MHz,
683,송신소(대전 TBN),35,36.5121176,127.5505602,102.9MHz,
684,송신소(대전 TBN),48,36.5298925,127.5050641,102.9MHz,
685,송신소(대전 TBN),36,36.5439375,127.4824988,102.9MHz,
686,송신소(대전 TBN),54,36.564778,127.430754,102.9MHz,
687,송신소(대전 TBN),35,36.533564,127.430482,102.9MHz,
688,송신소(대전 TBN),54,36.530836,127.409951,102.9MHz,
689,송신소(대전 TBN),36,36.52918,127.391182,102.9MHz,
690,송신소(대전 TBN),34,36.529344,127.376902,102.9MHz,
691,송신소(대전 TBN),36,36.538143,127.366381,102.9MHz,
692,송신소(대전 TBN),34,36.529663,127.377038,102.9MHz,
693,송신소(대전 TBN),42,36.532955,127.426325,102.9MHz,
694,송신소(대전 TBN),40,36.486398,127.423637,102.9MHz,
695,송신소(대전 TBN),38,36.450994,127.428796,102.9MHz,
696,송신소(대전 TBN),43,36.5206679,127.3135272,102.9MHz,
697,송신소(대전 TBN),48,36.3111645,127.2621211,102.9MHz,
698,송신소(대전 TBN),36,36.455565,127.283852,102.9MHz,
699,송신소(대전 TBN),42,36.4364554,127.2839767,102.9MHz,
700,송신소(대전 TBN),37,36.412857,127.267361,102.9MHz,
701,송신소(대전 TBN),46,36.401455,127.243325,102.9MHz,
702,중계소(충주),35,37.00878,127.660052,93.5MHz,
703,중계소(충주),30,37.0068631,127.6713688,93.5MHz,
704,중계소(충주),33,37.007959,127.696965,93.5MHz,
705,중계소(충주),30,37.040144,127.739318,93.5MHz,
706,중계소(충주),26,37.038632,127.761749,93.5MHz,
707,중계소(충주),31,37.036439,127.776224,93.5MHz,
708,중계소(충주),33,37.035654,127.782033,93.5MHz,
709,중계소(충주),40,37.035661,127.787429,93.5MHz,
710,중계소(충주),52,37.036209,127.804296,93.5MHz,
711,중계소(충주),48,37.052879,127.847758,93.5MHz,
712,중계소(충주),42,37.065364,127.929814,93.5MHz,
713,중계소(충주),48,37.053677,127.847893,93.5MHz,
714,중계소(충주),30,37.062173,127.929469,93.5MHz,
715,중계소(충주),25,37.073175,127.932309,93.5MHz,
716,중계소(충주),31,37.093453,127.92131,93.5MHz,
717,중계소(충주),49,37.1134333,127.8836951,93.5MHz,
718,중계소(충주),34,37.0615751,128.1661043,93.5MHz,
719,중계소(충주),37,37.148949,127.883177,93.5MHz,
720,중계소(충주),41,37.148924,127.882818,93.5MHz,
721,중계소(충주),22,37.120053,127.986299,93.5MHz,
722,중계소(충주),15,37.1239685,128.000833,93.5MHz,
723,중계소(충주),46,37.043072,127.928053,93.5MHz,
724,중계소(충주),52,37.041201,127.928107,93.5MHz,
725,중계소(충주),51,37.002384,127.898889,93.5MHz,
726,중계소(충주),50,36.990174,127.887173,93.5MHz,
727,중계소(충주),56,36.961456,127.88619,93.5MHz,
728,중계소(충주),51,36.950746,127.880758,93.5MHz,
729,중계소(충주),50,36.939335,127.884629,93.5MHz,
730,중계소(충주),22,36.93276,127.928601,93.5MHz,
731,중계소(충주),51,36.950746,127.881038,93.5MHz,
732,중계소(충주),28,36.942686,127.918373,93.5MHz,
733,중계소(충주),45,36.951072,127.910225,93.5MHz,
734,중계소(충주),43,36.960252,127.926758,93.5MHz,
735,중계소(충주),45,36.972759,127.923211,93.5MHz,
736,중계소(충주),69,36.969355,127.94672,93.5MHz,
737,중계소(충주),80,36.972823,127.980105,93.5MHz,
738,중계소(충주),58,36.6969468,128.1908532,93.5MHz,
739,중계소(충주),41,36.998529,127.994129,93.5MHz,
740,중계소(충주),28,37.012226,127.979772,93.5MHz,
741,중계소(충주),21,37.0263963,127.9596453,93.5MHz,
742,중계소(충주),46,37.029139,127.924239,93.5MHz,
743,중계소(충주),36,37.0702734,127.8633306,93.5MHz,
744,중계소(충주),36,37.088136,127.806936,93.5MHz,
745,중계소(충주),38,37.1001616,127.7708003,93.5MHz,
746,중계소(충주),24,37.1119923,127.7050285,93.5MHz,
747,중계소(충주),12,37.11791,127.663471,93.5MHz,
748,중계소(충주),24,37.07858,127.7199725,93.5MHz,
749,중계소(충주),32,37.0347811,127.7961886,93.5MHz,
750,중계소(충주),46,36.9683562,127.8235387,93.5MHz,
751,중계소(충주),32,37.002539,127.849721,93.5MHz,
752,중계소(충주),28,36.9787055,127.8444633,93.5MHz,
753,중계소(충주),47,36.9550417,127.8450195,93.5MHz,
754,중계소(충주),42,36.9365718,127.8535192,93.5MHz,
755,중계소(충주),35,36.9209353,127.8769341,93.5MHz,
756,중계소(공주),47,36.3458584,127.2629689,102.9MHz,
757,중계소(공주),36,36.441926,127.119533,102.9MHz,
758,중계소(공주),33,36.4486117,127.0785737,102.9MHz,
759,중계소(공주),19,36.428154,127.214742,102.9MHz,
760,중계소(공주),37,36.4056246,127.2200392,102.9MHz,
761,중계소(공주),31,36.401455,127.243325,102.9MHz,
762,중계소(공주),43,36.3711017,127.2585087,102.9MHz,
763,중계소(공주),40,36.3632694,127.2664804,102.9MHz,
764,중계소(공주),22,36.475665,127.037139,102.9MHz,
765,중계소(공주),44,36.456581,127.124771,102.9MHz,
766,중계소(공주),52,36.3051113,127.3511405,102.9MHz,
767,중계소(공주),51,36.298759,127.323698,102.9MHz,
768,중계소(공주),56,36.29836,127.347709,102.9MHz,
769,중계소(공주),72,36.333859,127.371838,102.9MHz,
770,중계소(공주),62,36.3130552,127.3779155,102.9MHz,
771,중계소(공주),56,36.30875,127.367,102.9MHz,
772,중계소(공주),40,36.4719482,127.122769,102.9MHz,
773,중계소(공주),21,36.521567,126.953252,102.9MHz,
774,중계소(공주),40,36.4775861,127.1022709,102.9MHz,
775,중계소(공주),67,36.4560336,127.1315464,102.9MHz,
776,중계소(공주),60,36.458315,127.137814,102.9MHz,
777,중계소(공주),30,36.4688929,127.1149365,102.9MHz,
778,중계소(공주),35,36.4710314,127.1075708,102.9MHz,
779,중계소(공주),30,36.461278,127.101491,102.9MHz,
780,중계소(공주),33,36.457896,127.109622,102.9MHz,
781,중계소(공주),49,36.2719471,127.2688993,102.9MHz,
782,중계소(공주),47,36.332257,127.265391,102.9MHz,
783,중계소(공주),56,36.3898786,127.338195,102.9MHz,
784,중계소(공주),32,36.4320639,127.109938,102.9MHz,
785,중계소(서산),34,36.588798,126.924779,103.9MHz,
786,중계소(서산),33,36.575119,126.946412,103.9MHz,
787,중계소(서산),16,36.5646844,126.9741196,103.9MHz,
788,중계소(서산),36,36.690559,126.742903,103.9MHz,
789,중계소(서산),37,36.68748,126.758997,103.9MHz,
790,중계소(서산),46,36.6881369,126.7089586,103.9MHz,
791,중계소(서산),59,36.68868,126.676287,103.9MHz,
792,중계소(서산),20,36.642654,126.829806,103.9MHz,
793,중계소(서산),39,36.660488,126.672053,103.9MHz,
794,중계소(서산),24,36.5955399,126.865846,103.9MHz,
795,중계소(서산),31,36.6194355,126.8442164,103.9MHz,
796,중계소(서산),36,36.6767785,126.7731583,103.9MHz,
797,중계소(서산),36,36.6829727,126.8178093,103.9MHz,
798,중계소(서산),35,36.7044424,126.8216417,103.9MHz,
799,중계소(서산),33,36.6894435,126.7813405,103.9MHz,
800,중계소(서산),39,36.6871382,126.7750911,103.9MHz,
801,중계소(서산),38,36.6750841,126.7775357,103.9MHz,
802,중계소(서산),40,36.659754,126.670017,103.9MHz,
803,중계소(서산),37,36.656423,126.678846,103.9MHz,
804,송신소(부산 TBN),47,35.211808,129.205019,94.9MHz,
805,송신소(부산 TBN),36,35.279992,129.225334,94.9MHz,
806,송신소(부산 TBN),29,35.41359,129.26064,94.9MHz,
807,송신소(부산 TBN),21,35.491119,129.229555,94.9MHz,
808,송신소(부산 TBN),39,35.389414,129.156957,94.9MHz,
809,송신소(부산 TBN),64,35.337995,129.1237,94.9MHz,
810,송신소(부산 TBN),63,35.265538,129.092563,94.9MHz,
811,송신소(부산 TBN),80,35.205709,129.078146,94.9MHz,
812,송신소(부산 TBN),73,35.17984,129.074157,94.9MHz,
813,송신소(부산 TBN),75,35.147241,129.059295,94.9MHz,
814,송신소(부산 TBN),72,35.115306,129.039678,94.9MHz,
815,송신소(부산 TBN),47,35.213278,129.024227,94.9MHz,
816,송신소(부산 TBN),68,35.198217,129.096567,94.9MHz,
817,송신소(부산 TBN),64,35.232227,129.15362,94.9MHz,
818,송신소(부산 TBN),39,35.256774,129.2245,94.9MHz,
819,송신소(부산 TBN),28,35.416044,129.274274,94.9MHz,
820,송신소(부산 TBN),31,35.245092,129.222,94.9MHz,
821,송신소(부산 TBN),49,35.343036,129.306191,94.9MHz,
822,송신소(부산 TBN),34,35.360771,129.354898,94.9MHz,
823,송신소(부산 TBN),26,35.392336,129.332799,94.9MHz,
824,송신소(부산 TBN),48,35.223494,129.009243,94.9MHz,
825,송신소(부산 TBN),40,35.281081,129.016831,94.9MHz,
826,송신소(부산 TBN),32,35.412376,129.056487,94.9MHz,
827,송신소(부산 TBN),37,35.499974,129.095785,94.9MHz,
828,송신소(부산 TBN),62,35.250752,129.097599,94.9MHz,
829,송신소(부산 TBN),32,35.378242,129.051713,94.9MHz,
830,송신소(부산 TBN),52,35.219256,128.974382,94.9MHz,
831,송신소(부산 TBN),37,35.308519,129.012286,94.9MHz,
832,송신소(부산 TBN),41,35.318986,128.943466,94.9MHz,
833,송신소(부산 TBN),24,35.400163,128.820523,94.9MHz,
834,송신소(부산 TBN),41,35.225444,128.894744,94.9MHz,
835,송신소(부산 TBN),34,35.261084,128.755511,94.9MHz,
836,송신소(부산 TBN),60,35.155854,128.951964,94.9MHz,
837,송신소(부산 TBN),46,35.220845,128.795256,94.9MHz,
838,송신소(부산 TBN),45,35.217303,128.844825,94.9MHz,
839,송신소(부산 TBN),29,35.269863,128.860386,94.9MHz,
840,송신소(부산 TBN),24,35.398383,128.828618,94.9MHz,
841,송신소(부산 TBN),53,35.100514,129.01977,94.9MHz,
842,송신소(부산 TBN),35,35.099722,128.983502,94.9MHz,
843,송신소(부산 TBN),40,35.111094,128.931914,94.9MHz,
844,송신소(부산 TBN),32,35.105269,128.809044,94.9MHz,
845,송신소(부산 TBN),29,35.131866,128.708842,94.9MHz,
846,송신소(부산 TBN),64,35.282988,129.112669,94.9MHz,
847,송신소(부산 TBN),41,35.304903,128.896378,94.9MHz,
848,송신소(부산 TBN),26,35.278994,128.719812,94.9MHz,
849,송신소(울산 TBN),53,35.6728507,129.2863518,104.1MHz,
850,송신소(울산 TBN),48,35.7321452,129.3124736,104.1MHz,
851,송신소(울산 TBN),28,35.7650707,129.1931752,104.1MHz,
852,송신소(울산 TBN),38,35.7102248,129.1885606,104.1MHz,
853,송신소(울산 TBN),40,35.644388,129.1603623,104.1MHz,
854,송신소(울산 TBN),35,35.617393,129.1475448,104.1MHz,
855,송신소(울산 TBN),43,35.5728701,129.1275757,104.1MHz,
856,송신소(울산 TBN),46,35.5319578,129.1025514,104.1MHz,
857,송신소(울산 TBN),37,35.4992671,129.0937754,104.1MHz,
858,송신소(울산 TBN),24,35.3782528,129.0494774,104.1MHz,
859,송신소(울산 TBN),20,35.3350077,129.0348688,104.1MHz,
860,송신소(울산 TBN),32,35.3739775,129.1511069,104.1MHz,
861,송신소(울산 TBN),40,35.4177504,129.169715,104.1MHz,
862,송신소(울산 TBN),42,35.461863,129.2049123,104.1MHz,
863,송신소(울산 TBN),38,35.4910761,129.2272909,104.1MHz,
864,송신소(울산 TBN),53,35.517129,129.2472883,104.1MHz,
865,송신소(울산 TBN),48,35.5352422,129.2573952,104.1MHz,
866,송신소(울산 TBN),58,35.5500698,129.2615916,104.1MHz,
867,송신소(울산 TBN),55,35.562569,129.3003654,104.1MHz,
868,송신소(울산 TBN),54,35.5508764,129.3211138,104.1MHz,
869,송신소(울산 TBN),56,35.5252684,129.3284194,104.1MHz,
870,송신소(울산 TBN),52,35.5154368,129.3562782,104.1MHz,
871,송신소(울산 TBN),66,35.510691,129.3832893,104.1MHz,
872,송신소(울산 TBN),37,35.5049429,129.4145461,104.1MHz,
873,송신소(울산 TBN),35,35.4884411,129.4127459,104.1MHz,
874,송신소(울산 TBN),37,35.476637,129.4074963,104.1MHz,
875,송신소(울산 TBN),35,35.4834758,129.4221177,104.1MHz,
876,송신소(울산 TBN),37,35.4969125,129.4255222,104.1MHz,
877,송신소(울산 TBN),48,35.5221318,129.4304099,104.1MHz,
878,송신소(울산 TBN),52,35.5379911,129.4299928,104.1MHz,
879,송신소(울산 TBN),55,35.539469,129.4441747,104.1MHz,
880,송신소(울산 TBN),64,35.5694854,129.3305846,104.1MHz,
881,송신소(울산 TBN),82,35.5931799,129.3534156,104.1MHz,
882,송신소(울산 TBN),78,35.6208128,129.3346105,104.1MHz,
883,송신소(울산 TBN),50,35.6543367,129.3408034,104.1MHz,
884,송신소(울산 TBN),53,35.6772504,129.3307759,104.1MHz,
885,송신소(울산 TBN),38,35.7174956,129.3254142,104.1MHz,
886,송신소(울산 TBN),35,35.805453,129.2590813,104.1MHz,
887,송신소(울산 TBN),45,35.8273696,129.2331975,104.1MHz,
888,송신소(울산 TBN),35,35.8358962,129.2195874,104.1MHz,
889,송신소(울산 TBN),60,35.4664976,129.3302264,104.1MHz,
890,송신소(울산 TBN),52,35.452399,129.3318303,104.1MHz,
891,송신소(울산 TBN),42,35.434777,129.3242243,104.1MHz,
892,송신소(울산 TBN),42,35.392312,129.3305896,104.1MHz,
893,송신소(울산 TBN),31,35.3812302,129.3406723,104.1MHz,
894,송신소(울산 TBN),32,35.3607884,129.3526717,104.1MHz,
895,송신소(울산 TBN),30,35.3262337,129.2733084,104.1MHz,
896,송신소(울산 TBN),35,35.2793963,129.229319,104.1MHz,
897,송신소(울산 TBN),32,35.2518291,129.2186789,104.1MHz,
898,송신소(울산 TBN),30,35.2359394,129.2156325,104.1MHz,
899,송신소(울산 TBN),46,35.53995,129.4305278,104.1MHz,
900,송신소(울산 TBN),59,35.5851332,129.4557879,104.1MHz,
901,송신소(울산 TBN),60,35.578751,129.3941948,104.1MHz,
902,송신소(울산 TBN),50,35.6039555,129.429991,104.1MHz,
903,송신소(울산 TBN),58,35.6283685,129.4330622,104.1MHz,
904,송신소(울산 TBN),40,35.6641431,129.4480431,104.1MHz,
905,송신소(울산 TBN),41,35.6775747,129.4577917,104.1MHz,
906,송신소(울산 TBN),38,35.6996939,129.419267,104.1MHz,
907,송신소(울산 TBN),38,35.7278794,129.385672,104.1MHz,
908,송신소(울산 TBN),24,35.729892,129.3704072,104.1MHz,
909,송신소(울산 TBN),35,35.7174956,129.3254142,104.1MHz,
910,송신소(울산 TBN),51,35.7028425,129.2869572,104.1MHz,
911,송신소(울산 TBN),28,35.7234091,129.2361612,104.1MHz,
912,송신소(전북 TBN),64.9,35.819245,127.086314,102.5MHz,
913,송신소(전북 TBN),66,35.8136106,127.1097824,102.5MHz,
914,송신소(전북 TBN),70.1,35.7751432,127.092457,102.5MHz,
915,송신소(전북 TBN),72,35.735106,127.1494176,102.5MHz,
916,송신소(전북 TBN),71.3,35.6612685,127.0893825,102.5MHz,
917,송신소(전북 TBN),66.4,35.6238464,127.1072668,102.5MHz,
918,송신소(전북 TBN),65,35.598427,127.007337,102.5MHz,
919,송신소(전북 TBN),65.1,35.6749362,126.9749095,102.5MHz,
920,송신소(전북 TBN),68,,,102.5MHz,
921,송신소(전북 TBN),55.5,35.7365066,126.9867128,102.5MHz,
922,송신소(전북 TBN),66.3,35.7751968,127.0002202,102.5MHz,
923,송신소(전북 TBN),62.5,35.8072466,127.0483047,102.5MHz,
924,송신소(전북 TBN),37.05,36.0132886,126.8926333,102.5MHz,
925,송신소(전북 TBN),40.05,36.0630271,126.9848733,102.5MHz,
926,송신소(전북 TBN),42.45,36.0065094,126.9995519,102.5MHz,
927,송신소(전북 TBN),23.3,36.1135705,126.9793973,102.5MHz,
928,송신소(전북 TBN),40.35,36.109446,126.9582291,102.5MHz,
929,송신소(전북 TBN),43.6,36.0239303,126.9021487,102.5MHz,
930,송신소(전북 TBN),43.55,36.0610147,126.930993,102.5MHz,
931,송신소(전북 TBN),46.35,36.0403131,126.8665758,102.5MHz,
932,송신소(전북 TBN),52.6,35.9264995,126.9849828,102.5MHz,
933,송신소(전북 TBN),48,36.0182805,126.9832927,102.5MHz,
934,송신소(전북 TBN),43.75,36.0031597,126.8435017,102.5MHz,
935,송신소(전북 TBN),38.3,35.9619094,126.7670646,102.5MHz,
936,송신소(전북 TBN),35.3,36.0193906,126.7475869,102.5MHz,
937,송신소(전북 TBN),30.25,35.949836,126.6256499,102.5MHz,
938,송신소(전북 TBN),33.6,35.942441,126.6880114,102.5MHz,
939,송신소(전북 TBN),32.1,35.9424205,126.6199832,102.5MHz,
940,송신소(전북 TBN),39.8,35.820222,126.480564,102.5MHz,
941,송신소(전북 TBN),32.7,35.8156272,126.461715,102.5MHz,
942,송신소(전북 TBN),42.85,35.7634404,126.5023764,102.5MHz,
943,송신소(전북 TBN),48.3,35.9064296,126.7215532,102.5MHz,
944,송신소(전북 TBN),37.2,35.6042653,126.6066141,102.5MHz,
945,송신소(전북 TBN),40.8,35.8315307,126.663607,102.5MHz,
946,송신소(전북 TBN),41.9,35.8199616,126.7681253,102.5MHz,
947,송신소(전북 TBN),50.5,35.8035179,126.8783323,102.5MHz,
948,송신소(전북 TBN),48.05,35.7693019,126.7722781,102.5MHz,
949,송신소(전북 TBN),53.75,35.7370254,126.8261357,102.5MHz,
950,송신소(전북 TBN),57.05,35.7219797,126.8951297,102.5MHz,
951,송신소(전북 TBN),48.65,35.7893654,126.9255311,102.5MHz,
952,송신소(전북 TBN),50.55,35.744962,126.9346585,102.5MHz,
953,송신소(전북 TBN),64.7,35.712284,126.989394,102.5MHz,
954,송신소(전북 TBN),48.25,35.6463603,126.8970922,102.5MHz,
955,송신소(전북 TBN),26.4,35.690223,126.885387,102.5MHz,
956,송신소(전북 TBN),55.15,35.6464418,126.8528765,102.5MHz,
957,송신소(전북 TBN),49.5,35.6684629,126.8097238,102.5MHz,
958,송신소(전북 TBN),42.1,35.6533215,126.7290939,102.5MHz,
959,송신소(전북 TBN),42.2,35.5758987,126.8419975,102.5MHz,
960,송신소(전북 TBN),42.45,35.5530297,126.7446066,102.5MHz,
961,송신소(전북 TBN),36.95,35.5060882,126.7606617,102.5MHz,
962,송신소(전북 TBN),43.15,35.5331593,126.7086461,102.5MHz,
